Datetime,IndoorTemp,IndoorHumidity,OutdoorTemp,OutdoorHumidity,Rain,CloudCover,WindSpeed,Hour,DayOfWeek,DayName,Weekend,dT,dH,Gradient,AC_State,TempDifference,HumidityDifference,CoolingRate,IndoorTemp_Lag1,IndoorHumidity_Lag1,RollingTemp_1hr,RollingHumidity_1hr,TempStd_1hr,AI_AC,AI_Probability,Baseline_AC
2026-06-22 11:30:00,25.9,68.6,27.342499,83.626135,0.0,99.491665,5.1052097,11,0,Monday,0,0.14999999999999858,0.9499999999999886,1.4424990000000015,0,-1.4424990000000015,-15.02613500000001,-0.14999999999999858,25.75,67.65,28.124528985507244,71.53365942028985,3.5606246529468413,0,9.07,1
2026-06-22 11:35:00,26.3,68.1,27.23749975,84.54850375,0.0,99.375,5.1018777,11,0,Monday,0,0.40000000000000213,-0.5,0.9374997500000006,0,-0.9374997500000006,-16.44850375,-0.40000000000000213,25.9,68.6,27.749166666666667,71.165,3.489142140811673,0,6.43,1
2026-06-22 11:40:00,25.925,66.3,27.1774995,85.0755735,0.0,99.308333,5.099973825,11,0,Monday,0,-0.375,-1.7999999999999972,1.252499499999999,1,-1.252499499999999,-18.775573500000007,0.375,26.3,68.1,27.32625,70.74,3.364637036347846,1,99.39,1
2026-06-22 11:45:00,25.35,63.550000000000004,27.07249975,85.99795125,0.0,99.191667,5.096642,11,0,Monday,0,-0.5749999999999993,-2.749999999999993,1.7224997499999972,1,-1.7224997499999972,-22.447951249999996,0.5749999999999993,25.925,66.3,26.872083333333336,70.01916666666666,3.217735269588145,1,99.72,1
2026-06-22 11:50:00,25.119999999999997,64.44,27.005000000000003,86.5909048,0.0,99.11666720000001,5.09450012,11,0,Monday,0,-0.23000000000000398,0.8899999999999935,1.8850000000000051,1,-1.8850000000000051,-22.150904800000006,0.23000000000000398,25.35,63.550000000000004,26.330000000000002,69.21,2.8737898638936965,1,99.82,1
2026-06-22 11:55:00,24.880000000000003,62.6,26.9299998,87.24974019999999,0.0,99.0333332,5.09212032,11,0,Monday,0,-0.23999999999999488,-1.8399999999999963,2.0499997999999984,1,-2.0499997999999984,-24.64974019999999,0.23999999999999488,25.119999999999997,64.44,25.736666666666668,68.325,2.2678467293621827,1,99.84,1
2026-06-22 12:00:00,24.96,64.26,26.867499600000002,87.75251899999999,0.0,98.9499996,5.01661002,12,0,Monday,0,0.0799999999999983,1.6600000000000037,1.9074996000000013,1,-1.9074996000000013,-23.492518999999987,-0.0799999999999983,24.880000000000003,62.6,25.131249999999998,67.60083333333334,0.98538438508208,1,98.84,1
2026-06-22 12:05:00,24.96,62.620000000000005,26.813333399999998,88.151253,0.0,98.86666720000001,4.8923459000000005,12,0,Monday,0,0.0,-1.6400000000000006,1.8533333999999968,1,-1.8533333999999968,-25.531252999999992,-0.0,24.96,64.26,25.277916666666666,66.73583333333333,0.7817389076264042,1,99.4,1
2026-06-22 12:10:00,24.86,63.9,26.759166399999998,88.549992,0.0,98.7833332,4.768081860000001,12,0,Monday,0,-0.10000000000000142,1.279999999999994,1.8991663999999986,1,-1.8991663999999986,-24.649992000000005,0.10000000000000142,24.96,62.620000000000005,25.41208333333333,65.88166666666666,0.4832158294993481,1,99.6,1
2026-06-22 12:15:00,24.880000000000003,63.64,26.7049994,88.948726,0.0,98.6999996,4.6438179,12,0,Monday,0,0.020000000000003126,-0.259999999999998,1.8249993999999958,1,-1.8249993999999958,-25.308725999999993,-0.020000000000003126,24.86,63.9,25.37875,65.31,0.5063960227116091,1,99.23,1
2026-06-22 12:20:00,24.62,63.9,26.6508332,89.3474654,0.0,98.61666720000001,4.51955374,12,0,Monday,0,-0.26000000000000156,0.259999999999998,2.0308332,1,-2.0308332,-25.447465400000006,0.26000000000000156,24.880000000000003,63.64,25.292083333333334,64.96333333333334,0.5416534380668608,1,99.86,1
2026-06-22 12:25:00,24.8,64.34,26.596666600000002,89.746204,0.0,98.5333332,4.39528982,12,0,Monday,0,0.17999999999999972,0.44000000000000483,1.7966666000000018,1,-1.7966666000000018,-25.406204000000002,-0.17999999999999972,24.62,63.9,25.21291666666667,64.6875,0.5380539780851791,1,98.14,1
2026-06-22 12:30:00,24.68,63.17999999999999,26.5425,90.1449376,0.0,98.4499996,4.2710256200000005,12,0,Monday,0,-0.120000000000001,-1.1600000000000108,1.8625000000000007,1,-1.8625000000000007,-26.964937600000013,0.120000000000001,24.8,64.34,25.111250000000002,64.23583333333333,0.511006693604931,1,99.52,1
2026-06-22 12:35:00,24.8,64.9,26.504583,90.42405500000001,0.0,98.391665,4.184041000000001,12,0,Monday,0,0.120000000000001,1.720000000000013,1.7045829999999995,1,-1.7045829999999995,-25.524055000000004,-0.120000000000001,24.68,63.17999999999999,24.986250000000002,63.969166666666666,0.3527368643259413,1,98.67,1
2026-06-22 12:45:00,24.64,65.06,26.3908334,91.2614036,0.0,98.2166668,3.92308648,12,0,Monday,0,-0.16000000000000014,0.1599999999999966,1.7508334000000012,1,-1.7508334000000012,-26.201403599999992,0.16000000000000014,24.8,64.9,24.879166666666666,63.86583333333334,0.20663795010644545,1,99.47,1
2026-06-22 12:50:00,24.86,63.02,26.336666400000002,91.660136,0.0,98.13333279999999,3.7988224,12,0,Monday,0,0.21999999999999886,-2.039999999999999,1.4766664000000027,1,-1.4766664000000027,-28.64013599999999,-0.21999999999999886,24.64,65.06,24.838333333333335,63.821666666666665,0.144085412379453,1,99.57,1
2026-06-22 12:55:00,24.7,61.67999999999999,26.282500199999998,92.0588756,0.0,98.0500004,3.67455834,12,0,Monday,0,-0.16000000000000014,-1.3400000000000105,1.5825001999999984,1,-1.5825001999999984,-30.3788756,0.16000000000000014,24.86,63.02,24.80333333333333,63.59166666666667,0.11811653208364208,1,99.45,1
2026-06-22 13:00:00,24.62,62.9,26.2383334,92.36247399999999,0.0,97.76666600000001,3.60713772,13,0,Monday,0,-0.0799999999999983,1.220000000000006,1.6183333999999974,1,-1.6183333999999974,-29.462473999999993,0.0799999999999983,24.7,61.67999999999999,24.781666666666666,63.61666666666667,0.12633529222096548,1,99.52,1
2026-06-22 13:05:00,24.66,62.2,26.209166600000003,92.52335980000001,0.0,97.18333279999999,3.62498188,13,0,Monday,0,0.03999999999999915,-0.6999999999999957,1.549166600000003,1,-1.549166600000003,-30.323359800000006,-0.03999999999999915,24.62,62.9,24.756666666666664,63.445,0.11718930554143499,1,99.56,1
2026-06-22 13:10:00,24.6,62.279999999999994,26.179999600000002,92.684244,0.0,96.6000012,3.64282622,13,0,Monday,0,-0.05999999999999872,0.07999999999999119,1.5799996000000007,1,-1.5799996000000007,-30.404244000000013,0.05999999999999872,24.66,62.2,24.72666666666667,63.416666666666664,0.1059445252204786,1,99.5,1
2026-06-22 13:15:00,24.86,63.85999999999999,26.150833,92.8451298,0.0,96.01666600000001,3.6606704999999997,13,0,Monday,0,0.259999999999998,1.5799999999999983,1.2908329999999992,1,-1.2908329999999992,-28.985129800000003,-0.259999999999998,24.6,62.279999999999994,24.72666666666667,63.413333333333334,0.1059445252204786,1,99.55,1
