Date,Datetime,Hour,Baseline_Temp,Baseline_AC,Optimized_Temp,Optimized_AC
2026-06-24,2026-06-24 08:05:00,8,30.340649478435516,1,30.340649478435516,1
2026-06-24,2026-06-24 08:10:00,8,29.419303529262542,1,29.419303529262542,1
2026-06-24,2026-06-24 08:15:00,8,28.450755648612976,1,28.450755648612976,1
2026-06-24,2026-06-24 08:20:00,8,27.67366009235382,1,27.67366009235382,1
2026-06-24,2026-06-24 08:25:00,8,27.098202340602874,1,27.098202340602874,1
2026-06-24,2026-06-24 08:30:00,8,26.61294009566307,1,26.61294009566307,1
2026-06-24,2026-06-24 08:35:00,8,26.24648352742195,1,26.24648352742195,1
2026-06-24,2026-06-24 08:40:00,8,26.003811531066894,1,26.003811531066894,1
2026-06-24,2026-06-24 08:45:00,8,25.838181592822075,1,25.838181592822075,1
2026-06-24,2026-06-24 08:50:00,8,25.66193210363388,1,25.66193210363388,1
2026-06-24,2026-06-24 08:55:00,8,25.487276770472526,1,25.487276770472526,1
2026-06-24,2026-06-24 09:00:00,9,25.332103438973427,1,25.332103438973427,1
2026-06-24,2026-06-24 09:05:00,9,25.162884868979454,1,25.162884868979454,1
2026-06-24,2026-06-24 09:10:00,9,24.958930500149727,1,24.958930500149727,1
2026-06-24,2026-06-24 09:15:00,9,24.717442669272423,1,24.717442669272423,1
2026-06-24,2026-06-24 09:20:00,9,24.49846271455288,1,24.49846271455288,1
2026-06-24,2026-06-24 09:25:00,9,24.277184047102928,1,24.277184047102928,1
2026-06-24,2026-06-24 09:30:00,9,24.051250987052917,1,24.051250987052917,1
2026-06-24,2026-06-24 09:35:00,9,23.783219389915466,1,23.783219389915466,1
2026-06-24,2026-06-24 09:40:00,9,23.394193671941757,1,23.394193671941757,1
2026-06-24,2026-06-24 09:45:00,9,23.13593786239624,1,23.13593786239624,1
2026-06-24,2026-06-24 09:50:00,9,22.911509625911712,1,22.911509625911712,1
2026-06-24,2026-06-24 09:55:00,9,22.669470228552818,1,22.669470228552818,1
2026-06-24,2026-06-24 10:00:00,10,22.51717142045498,1,22.51717142045498,1
2026-06-24,2026-06-24 10:05:00,10,22.348996572494507,1,22.348996572494507,1
2026-06-24,2026-06-24 10:10:00,10,22.185817607045173,1,22.185817607045173,1
2026-06-24,2026-06-24 10:15:00,10,22.021881319880485,1,22.021881319880485,1
2026-06-24,2026-06-24 10:20:00,10,21.84857774555683,1,21.84857774555683,1
2026-06-24,2026-06-24 10:25:00,10,21.688366271853447,1,21.688366271853447,1
